"Periodo","TUN","COL","MOV2","KEN","CBV","LFR","CSE","JAZ","FTB","MOV","USM","MAM","PTE","USQ","SCR","BOS","CDAR","BOL","GYR","SUB"
"2015","21","N/A","N/A","27","N/A","18","31","N/A","N/A","N/A","N/A","15","N/A","13","9","N/A","18","N/A","14","22"
"2016","23","N/A","N/A","30","N/A","19","30","N/A","N/A","N/A","N/A","18","23","17","10","N/A","20","N/A","16","22"
"2017","21","N/A","N/A","27","N/A","17","28","N/A","N/A","N/A","N/A","16","18","14","12","N/A","15","N/A","15","18"
"2018","20","N/A","N/A","24","N/A","15","30","N/A","N/A","N/A","N/A","14","17","13","12","N/A","14","N/A","14","16"
"2019","16","N/A","N/A","25","N/A","15","36","N/A","18","28","N/A","14","18","14","12","N/A","15","N/A","14","16"
"2020","16","N/A","N/A","22","23","14","29","16","20","22","15","13","21","14","12","16","14","18","14","15"
"2021","15","N/A","N/A","21","17","14","35","15","17","18","11","12","21","N/A","13","N/A","13","14","13","13"
