Tema Queja;Año;Área;Número de quejas;Proporción
Radiaciones electromagnéticas;2018;San Cristóbal;0;0
Radiaciones electromagnéticas;2018;Usme;0;0
Radiaciones electromagnéticas;2018;Tunjuelito;0;0
Radiaciones electromagnéticas;2018;Bosa;0;0
Radiaciones electromagnéticas;2018;Kennedy;0;0
Radiaciones electromagnéticas;2018;Fontibón;2;13,3
Radiaciones electromagnéticas;2018;Engativá;2;13,3
Radiaciones electromagnéticas;2018;Suba;1;6,7
Radiaciones electromagnéticas;2018;Barrios Unidos;3;20
Radiaciones electromagnéticas;2018;Teusaquillo;2;13,3
Radiaciones electromagnéticas;2018;Los Mártires;0;0
Radiaciones electromagnéticas;2018;Antonio Nariño;0;0
Radiaciones electromagnéticas;2018;Puente Aranda;0;0
Radiaciones electromagnéticas;2018;La Candelaria;0;0
Radiaciones electromagnéticas;2018;Rafael Uribe Uribe;0;0
Radiaciones electromagnéticas;2018;Ciudad Bolívar;0;0
Radiaciones electromagnéticas;2018;Distrito;15;100
Olores ofensivos;2018;Usaquén;14;11,6
Olores ofensivos;2018;Chapinero;5;4,1
Olores ofensivos;2018;Santa Fe;1;0,8
Olores ofensivos;2018;San Cristóbal;1;0,8
Olores ofensivos;2018;Usme;4;3,3
Olores ofensivos;2018;Tunjuelito;4;3,3
Olores ofensivos;2018;Bosa;11;9,1
Olores ofensivos;2018;Kennedy;6;5
Olores ofensivos;2018;Fontibón;5;4,1
Olores ofensivos;2018;Engativá;20;16,5
Olores ofensivos;2018;Suba;14;11,6
Olores ofensivos;2018;Barrios Unidos;6;5
Olores ofensivos;2018;Teusaquillo;5;4,1
Olores ofensivos;2018;Los Mártires;2;1,7
Olores ofensivos;2018;Antonio Nariño;4;3,3
Olores ofensivos;2018;Puente Aranda;1;5,8
Olores ofensivos;2018;La Candelaria;7;0,8
Olores ofensivos;2018;Rafael Uribe Uribe;3;2,5
Olores ofensivos;2018;Ciudad Bolívar;8;6,6
Olores ofensivos;2018;Distrito;121;100
Contaminación por ruido;2018;Usaquén;3;2,9
Contaminación por ruido;2018;Chapinero;5;4,8
Contaminación por ruido;2018;Santa Fe;0;0
Contaminación por ruido;2018;San Cristóbal;2;1,9
Contaminación por ruido;2018;Usme;4;3,8
Contaminación por ruido;2018;Tunjuelito;4;3,8
Contaminación por ruido;2018;Bosa;30;28,6
Contaminación por ruido;2018;Kennedy;5;4,8
Contaminación por ruido;2018;Fontibón;5;4,8
Contaminación por ruido;2018;Engativá;12;11,4
Contaminación por ruido;2018;Suba;8;7,6
Contaminación por ruido;2018;Barrios Unidos;4;3,8
Contaminación por ruido;2018;Teusaquillo;3;2,9
Contaminación por ruido;2018;Los Mártires;2;1,9
Contaminación por ruido;2018;Antonio Nariño;3;2,9
Contaminación por ruido;2018;Puente Aranda;0;4,8
Contaminación por ruido;2018;La Candelaria;5;0
Contaminación por ruido;2018;Rafael Uribe Uribe;5;4,8
Contaminación por ruido;2018;Ciudad Bolívar;5;4,8
Contaminación por ruido;2018;Distrito;105;100
Contaminación por aire;2019;Usaquén;3;6
Contaminación por aire;2019;Chapinero;2;4
Contaminación por aire;2019;Santa Fe;0;0
Contaminación por aire;2019;San Cristóbal;2;4
Contaminación por aire;2019;Usme;1;2
Contaminación por aire;2019;Tunjuelito;6;12
Contaminación por aire;2019;Bosa;4;8
Contaminación por aire;2019;Kennedy;10;20
Contaminación por aire;2019;Fontibón;4;8
Contaminación por aire;2019;Engativá;4;8
Contaminación por aire;2019;Suba;2;4
Contaminación por aire;2019;Barrios Unidos;1;2
Contaminación por aire;2019;Teusaquillo;1;2
Contaminación por aire;2019;Los Mártires;0;0
Contaminación por aire;2019;Antonio Nariño;5;10
Contaminación por aire;2019;Puente Aranda;2;4
Contaminación por aire;2019;La Candelaria;0;0
Contaminación por aire;2019;Rafael Uribe Uribe;0;0
Contaminación por aire;2019;Ciudad Bolívar;3;6
Contaminación por aire;2019;Distrito;50;100
Humo de tabaco;2019;Usaquén;3;11,5
Humo de tabaco;2019;Chapinero;4;15,4
Humo de tabaco;2019;Santa Fe;1;3,8
Humo de tabaco;2019;San Cristóbal;1;3,8
Humo de tabaco;2019;Usme;0;0
Humo de tabaco;2019;Tunjuelito;0;0
Humo de tabaco;2019;Bosa;2;7,7
Humo de tabaco;2019;Kennedy;1;3,8
Humo de tabaco;2019;Fontibón;4;15,4
Humo de tabaco;2019;Engativá;6;23,1
Humo de tabaco;2019;Suba;1;3,8
Humo de tabaco;2019;Barrios Unidos;1;3,8
Humo de tabaco;2019;Teusaquillo;0;0
Humo de tabaco;2019;Los Mártires;0;0
Humo de tabaco;2019;Antonio Nariño;0;0
Humo de tabaco;2019;Puente Aranda;0;0
Humo de tabaco;2019;La Candelaria;0;0
Humo de tabaco;2019;Rafael Uribe Uribe;1;3,8
Humo de tabaco;2019;Ciudad Bolívar;1;3,8
Humo de tabaco;2019;Distrito;26;100
Radiaciones electromagnéticas;2019;Usaquén;0;0
Radiaciones electromagnéticas;2019;Chapinero;0;0
Radiaciones electromagnéticas;2019;Santa Fe;1;8,3
Radiaciones electromagnéticas;2019;San Cristóbal;0;0
Radiaciones electromagnéticas;2019;Usme;0;0
Radiaciones electromagnéticas;2019;Tunjuelito;1;8,3
Radiaciones electromagnéticas;2019;Bosa;1;8,3
Radiaciones electromagnéticas;2019;Kennedy;2;16,7
Radiaciones electromagnéticas;2019;Fontibón;0;0
Radiaciones electromagnéticas;2019;Engativá;0;0
Radiaciones electromagnéticas;2019;Suba;2;16,7
Radiaciones electromagnéticas;2019;Barrios Unidos;0;0
Radiaciones electromagnéticas;2019;Teusaquillo;5;41,7
Radiaciones electromagnéticas;2019;Los Mártires;0;0
Radiaciones electromagnéticas;2019;Antonio Nariño;0;0
Radiaciones electromagnéticas;2019;Puente Aranda;0;0
Radiaciones electromagnéticas;2019;La Candelaria;0;0
Radiaciones electromagnéticas;2019;Rafael Uribe Uribe;0;0
Radiaciones electromagnéticas;2019;Ciudad Bolívar;0;0
Radiaciones electromagnéticas;2019;Distrito;12;100
Olores ofensivos;2019;Usaquén;13;8,7
Olores ofensivos;2019;Chapinero;4;2,7
Olores ofensivos;2019;Santa Fe;1;0,7
Olores ofensivos;2019;San Cristóbal;3;2
Olores ofensivos;2019;Usme;8;5,4
Olores ofensivos;2019;Tunjuelito;7;4,7
Olores ofensivos;2019;Bosa;15;10,1
Olores ofensivos;2019;Kennedy;16;10,7
Olores ofensivos;2019;Fontibón;14;9,4
Olores ofensivos;2019;Engativá;17;11,4
Olores ofensivos;2019;Suba;11;7,4
Olores ofensivos;2019;Barrios Unidos;10;6,7
Olores ofensivos;2019;Teusaquillo;5;3,4
Olores ofensivos;2019;Los Mártires;2;1,3
Olores ofensivos;2019;Antonio Nariño;5;3,4
Olores ofensivos;2019;Puente Aranda;8;5,4
Olores ofensivos;2019;La Candelaria;1;0,7
Olores ofensivos;2019;Rafael Uribe Uribe;3;2
Olores ofensivos;2019;Ciudad Bolívar;6;4
Olores ofensivos;2019;Distrito;149;100
Contaminación por ruido;2019;Usaquén;5;3,9
Contaminación por ruido;2019;Chapinero;8;6,2
Contaminación por ruido;2019;Santa Fe;0;0
Contaminación por ruido;2019;San Cristóbal;4;3,1
Contaminación por ruido;2019;Usme;8;6,2
Contaminación por ruido;2019;Tunjuelito;5;3,9
Contaminación por ruido;2019;Bosa;18;14
Contaminación por ruido;2019;Kennedy;14;10,9
Contaminación por ruido;2019;Fontibón;7;5,4
Contaminación por ruido;2019;Engativá;9;7
Contaminación por ruido;2019;Suba;7;5,4
Contaminación por ruido;2019;Barrios Unidos;4;3,1
Contaminación por ruido;2019;Teusaquillo;5;3,9
Contaminación por ruido;2019;Los Mártires;4;3,1
Contaminación por ruido;2019;Antonio Nariño;7;5,4
Contaminación por ruido;2019;Puente Aranda;8;6,2
Contaminación por ruido;2019;La Candelaria;0;0
Contaminación por ruido;2019;Rafael Uribe Uribe;4;3,1
Contaminación por ruido;2019;Ciudad Bolívar;12;9,3
Contaminación por ruido;2019;Distrito;129;100
Contaminación por aire;2020;Usaquén;3;10,7
Contaminación por aire;2020;Chapinero;0;0
Contaminación por aire;2020;Santa Fe;3;10,7
Contaminación por aire;2020;San Cristóbal;2;7,1
Contaminación por aire;2020;Usme;0;0
Contaminación por aire;2020;Tunjuelito;2;7,1
Contaminación por aire;2020;Bosa;4;14,3
Contaminación por aire;2020;Kennedy;4;14,3
Contaminación por aire;2020;Fontibón;1;3,6
Contaminación por aire;2020;Engativá;1;3,6
Contaminación por aire;2020;Suba;1;3,6
Contaminación por aire;2020;Barrios Unidos;1;3,6
Contaminación por aire;2020;Teusaquillo;1;3,6
Contaminación por aire;2020;Los Mártires;2;7,1
Contaminación por aire;2020;Antonio Nariño;0;0
Contaminación por aire;2020;Puente Aranda;1;3,6
Contaminación por aire;2020;La Candelaria;0;0
Contaminación por aire;2020;Rafael Uribe Uribe;1;3,6
Contaminación por aire;2020;Ciudad Bolívar;1;3,6
Contaminación por aire;2020;Distrito;28;100
Olores ofensivos;2020;Usaquén;5;9,6
Olores ofensivos;2020;Chapinero;0;0
Olores ofensivos;2020;Santa Fe;0;0
Olores ofensivos;2020;San Cristóbal;0;0
Olores ofensivos;2020;Usme;5;9,6
Olores ofensivos;2020;Tunjuelito;4;7,7
Olores ofensivos;2020;Bosa;4;7,7
Olores ofensivos;2020;Kennedy;10;19,2
Olores ofensivos;2020;Fontibón;5;9,6
Olores ofensivos;2020;Engativá;2;3,8
Olores ofensivos;2020;Suba;4;7,7
Olores ofensivos;2020;Barrios Unidos;1;1,9
Olores ofensivos;2020;Teusaquillo;1;1,9
Olores ofensivos;2020;Los Mártires;1;1,9
Olores ofensivos;2020;Antonio Nariño;1;1,9
Olores ofensivos;2020;Puente Aranda;4;7,7
Olores ofensivos;2020;La Candelaria;0;0
Olores ofensivos;2020;Rafael Uribe Uribe;1;1,9
Olores ofensivos;2020;Ciudad Bolívar;4;7,7
Olores ofensivos;2020;Distrito;52;100
Humo de tabaco;2020;Usaquén;1;4,3
Humo de tabaco;2020;Chapinero;7;30,4
Humo de tabaco;2020;Santa Fe;0;0
Humo de tabaco;2020;San Cristóbal;0;0
Humo de tabaco;2020;Usme;0;0
Humo de tabaco;2020;Tunjuelito;0;0
Humo de tabaco;2020;Bosa;0;0
Humo de tabaco;2020;Kennedy;3;13
Humo de tabaco;2020;Fontibón;1;4,3
Humo de tabaco;2020;Engativá;0;0
Humo de tabaco;2020;Suba;1;4,3
Humo de tabaco;2020;Barrios Unidos;4;17,4
Humo de tabaco;2020;Teusaquillo;4;17,4
Humo de tabaco;2020;Los Mártires;0;0
Humo de tabaco;2020;Antonio Nariño;1;4,3
Humo de tabaco;2020;Puente Aranda;1;4,3
Humo de tabaco;2020;La Candelaria;0;0
Humo de tabaco;2020;Rafael Uribe Uribe;0;0
Humo de tabaco;2020;Ciudad Bolívar;0;0
Humo de tabaco;2020;Distrito;23;100
Contaminación por ruido;2020;Usaquén;3;5,3
Contaminación por ruido;2020;Chapinero;2;3,5
Contaminación por ruido;2020;Santa Fe;2;3,5
Contaminación por ruido;2020;San Cristóbal;1;1,8
Contaminación por ruido;2020;Usme;3;5,3
Contaminación por ruido;2020;Tunjuelito;4;7
Contaminación por ruido;2020;Bosa;6;10,5
Contaminación por ruido;2020;Kennedy;5;8,8
Contaminación por ruido;2020;Fontibón;7;12,3
Contaminación por ruido;2020;Engativá;7;12,3
Contaminación por ruido;2020;Suba;3;5,3
Contaminación por ruido;2020;Barrios Unidos;4;7
Contaminación por ruido;2020;Teusaquillo;3;5,3
Contaminación por ruido;2020;Los Mártires;1;1,8
Contaminación por ruido;2020;Antonio Nariño;1;1,8
Contaminación por ruido;2020;Puente Aranda;2;3,5
Contaminación por ruido;2020;La Candelaria;0;0
Contaminación por ruido;2020;Rafael Uribe Uribe;1;1,8
Contaminación por ruido;2020;Ciudad Bolívar;2;3,5
Contaminación por ruido;2020;Distrito;57;100
Radiaciones electromagnéticas;2020;Usaquén;1;14,3
Radiaciones electromagnéticas;2020;Chapinero;1;14,3
Radiaciones electromagnéticas;2020;Santa Fe;0;0
Radiaciones electromagnéticas;2020;San Cristóbal;0;0
Radiaciones electromagnéticas;2020;Usme;0;0
Radiaciones electromagnéticas;2020;Tunjuelito;0;0
Radiaciones electromagnéticas;2020;Bosa;1;14,3
Radiaciones electromagnéticas;2020;Kennedy;0;0
Radiaciones electromagnéticas;2020;Fontibón;0;0
Radiaciones electromagnéticas;2020;Engativá;1;14,3
Radiaciones electromagnéticas;2020;Suba;1;14,3
Radiaciones electromagnéticas;2020;Barrios Unidos;0;0
Radiaciones electromagnéticas;2020;Teusaquillo;0;0
Radiaciones electromagnéticas;2020;Los Mártires;1;14,3
Radiaciones electromagnéticas;2020;Antonio Nariño;0;0
Radiaciones electromagnéticas;2020;Puente Aranda;0;0
Radiaciones electromagnéticas;2020;La Candelaria;1;14,3
Radiaciones electromagnéticas;2020;Rafael Uribe Uribe;0;0
Radiaciones electromagnéticas;2020;Ciudad Bolívar;0;0
Radiaciones electromagnéticas;2020;Distrito;7;100
Contaminación por aire;2021;Usaquén;0;0
Contaminación por aire;2021;Chapinero;4;6,8
Contaminación por aire;2021;Santa Fe;0;0
Contaminación por aire;2021;San Cristóbal;1;1,7
Contaminación por aire;2021;Usme;8;13,6
Contaminación por aire;2021;Tunjuelito;3;5,1
Contaminación por aire;2021;Bosa;8;13,6
Contaminación por aire;2021;Kennedy;4;6,8
Contaminación por aire;2021;Fontibón;1;1,7
Contaminación por aire;2021;Engativá;5;8,5
Contaminación por aire;2021;Suba;5;8,5
Contaminación por aire;2021;Barrios Unidos;4;6,8
Contaminación por aire;2021;Teusaquillo;3;5,1
Contaminación por aire;2021;Los Mártires;0;0
Contaminación por aire;2021;Antonio Nariño;3;5,1
Contaminación por aire;2021;Puente Aranda;5;8,5
Contaminación por aire;2021;La Candelaria;0;0
Contaminación por aire;2021;Rafael Uribe Uribe;1;1,7
Contaminación por aire;2021;Ciudad Bolívar;4;6,8
Contaminación por aire;2021;Distrito;59;100
Olores ofensivos;2021;Usaquén;11;8,5
Olores ofensivos;2021;Chapinero;8;6,2
Olores ofensivos;2021;Santa Fe;0;0
Olores ofensivos;2021;San Cristóbal;3;2,3
Olores ofensivos;2021;Usme;9;6,9
Olores ofensivos;2021;Tunjuelito;7;5,4
Olores ofensivos;2021;Bosa;9;6,9
Olores ofensivos;2021;Kennedy;17;13,1
Olores ofensivos;2021;Fontibón;9;6,9
Olores ofensivos;2021;Engativá;15;11,5
Olores ofensivos;2021;Suba;13;10
Olores ofensivos;2021;Barrios Unidos;5;3,8
Olores ofensivos;2021;Teusaquillo;3;2,3
Olores ofensivos;2021;Los Mártires;0;0
Olores ofensivos;2021;Antonio Nariño;5;3,8
Olores ofensivos;2021;Puente Aranda;2;1,5
Olores ofensivos;2021;La Candelaria;0;0
Olores ofensivos;2021;Rafael Uribe Uribe;1;0,8
Olores ofensivos;2021;Ciudad Bolívar;13;10
Olores ofensivos;2021;Distrito;130;100
Humo de tabaco;2021;Usaquén;2;10,5
Humo de tabaco;2021;Chapinero;1;5,3
Humo de tabaco;2021;Santa Fe;0;0
Humo de tabaco;2021;San Cristóbal;2;10,5
Humo de tabaco;2021;Usme;0;0
Humo de tabaco;2021;Tunjuelito;0;0
Humo de tabaco;2021;Bosa;2;10,5
Humo de tabaco;2021;Kennedy;1;5,3
Humo de tabaco;2021;Fontibón;5;26,3
Humo de tabaco;2021;Engativá;3;15,8
Humo de tabaco;2021;Suba;1;5,3
Humo de tabaco;2021;Barrios Unidos;2;10,5
Humo de tabaco;2021;Teusaquillo;0;0
Humo de tabaco;2021;Los Mártires;0;0
Humo de tabaco;2021;Antonio Nariño;0;0
Humo de tabaco;2021;Puente Aranda;0;0
Humo de tabaco;2021;La Candelaria;0;0
Humo de tabaco;2021;Rafael Uribe Uribe;0;0
Humo de tabaco;2021;Ciudad Bolívar;0;0
Humo de tabaco;2021;Distrito;19;100
Contaminación por ruido;2021;Usaquén;12;7,6
Contaminación por ruido;2021;Chapinero;5;3,2
Contaminación por ruido;2021;Santa Fe;1;0,6
Contaminación por ruido;2021;San Cristóbal;3;1,9
Contaminación por ruido;2021;Usme;10;6,4
Contaminación por ruido;2021;Tunjuelito;13;8,3
Contaminación por ruido;2021;Bosa;17;10,8
Contaminación por ruido;2021;Kennedy;16;10,2
Contaminación por ruido;2021;Fontibón;9;5,7
Contaminación por ruido;2021;Engativá;17;10,8
Contaminación por ruido;2021;Suba;16;10,2
Contaminación por ruido;2021;Barrios Unidos;3;1,9
Contaminación por ruido;2021;Teusaquillo;7;4,5
Contaminación por ruido;2021;Los Mártires;4;2,5
Contaminación por ruido;2021;Antonio Nariño;3;1,9
Contaminación por ruido;2021;Puente Aranda;9;5,7
Contaminación por ruido;2021;La Candelaria;0;0
Contaminación por ruido;2021;Rafael Uribe Uribe;5;3,2
Contaminación por ruido;2021;Ciudad Bolívar;7;4,5
Contaminación por ruido;2021;Distrito;157;100
Radiaciones electromagnéticas;2021;Usaquén;1;7,7
Radiaciones electromagnéticas;2021;Chapinero;2;15,4
Radiaciones electromagnéticas;2021;Santa Fe;0;0
Radiaciones electromagnéticas;2021;San Cristóbal;0;0
Radiaciones electromagnéticas;2021;Usme;0;0
Radiaciones electromagnéticas;2021;Tunjuelito;0;0
Radiaciones electromagnéticas;2021;Bosa;1;7,7
Radiaciones electromagnéticas;2021;Kennedy;1;7,7
Radiaciones electromagnéticas;2021;Fontibón;0;0
Radiaciones electromagnéticas;2021;Engativá;5;38,5
Radiaciones electromagnéticas;2021;Suba;1;7,7
Radiaciones electromagnéticas;2021;Barrios Unidos;2;15,4
Radiaciones electromagnéticas;2021;Teusaquillo;0;0
Radiaciones electromagnéticas;2021;Los Mártires;0;0
Radiaciones electromagnéticas;2021;Antonio Nariño;0;0
Radiaciones electromagnéticas;2021;Puente Aranda;0;0
Radiaciones electromagnéticas;2021;La Candelaria;0;0
Radiaciones electromagnéticas;2021;Rafael Uribe Uribe;0;0
Radiaciones electromagnéticas;2021;Ciudad Bolívar;0;0
Radiaciones electromagnéticas;2021;Distrito;13;100
