Tema Queja;Año;Área;Número de quejas;Proporción
Contaminación por aire;2014;Fontibón;0;0
Contaminación por aire;2014;Engativá;5;5,7
Contaminación por aire;2014;Suba;3;3,4
Contaminación por aire;2014;Barrios Unidos;2;2,3
Contaminación por aire;2014;Teusaquillo;3;3,4
Contaminación por aire;2014;Los Mártires;3;3,4
Contaminación por aire;2014;Antonio Nariño;3;3,4
Contaminación por aire;2014;Puente Aranda;9;10,2
Contaminación por aire;2014;La Candelaria;2;2,3
Contaminación por aire;2014;Rafael Uribe Uribe;0;0
Contaminación por aire;2014;Ciudad Bolívar;11;12,5
Contaminación por aire;2014;Distrito;88;100
Humo de tabaco;2014;Usaquén;3;7,3
Humo de tabaco;2014;Chapinero;5;12,2
Humo de tabaco;2014;Santa Fe;4;9,8
Humo de tabaco;2014;San Cristóbal;1;2,4
Humo de tabaco;2014;Usme;0;0
Humo de tabaco;2014;Tunjuelito;1;2,4
Humo de tabaco;2014;Bosa;0;0
Humo de tabaco;2014;Kennedy;3;7,3
Humo de tabaco;2014;Fontibón;2;4,9
Humo de tabaco;2014;Engativá;3;7,3
Humo de tabaco;2014;Suba;3;7,3
Humo de tabaco;2014;Barrios Unidos;2;4,9
Humo de tabaco;2014;Teusaquillo;4;9,8
Humo de tabaco;2014;Los Mártires;2;4,9
Humo de tabaco;2014;Antonio Nariño;2;4,9
Humo de tabaco;2014;Puente Aranda;2;4,9
Humo de tabaco;2014;La Candelaria;1;2,4
Humo de tabaco;2014;Rafael Uribe Uribe;3;7,3
Humo de tabaco;2014;Ciudad Bolívar;0;0
Humo de tabaco;2014;Distrito;41;100
Olores ofensivos;2014;Usaquén;3;2,3
Olores ofensivos;2014;Chapinero;9;6,9
Olores ofensivos;2014;Santa Fe;3;2,3
Olores ofensivos;2014;San Cristóbal;2;1,5
Olores ofensivos;2014;Usme;0;0
Olores ofensivos;2014;Tunjuelito;6;4,6
Olores ofensivos;2014;Bosa;41;31,5
Olores ofensivos;2014;Kennedy;12;9,2
Olores ofensivos;2014;Fontibón;5;3,8
Olores ofensivos;2014;Engativá;6;4,6
Olores ofensivos;2014;Suba;6;4,6
Olores ofensivos;2014;Barrios Unidos;14;10,8
Olores ofensivos;2014;Teusaquillo;6;4,6
Olores ofensivos;2014;Los Mártires;1;0,8
Olores ofensivos;2014;Antonio Nariño;3;2,3
Olores ofensivos;2014;Puente Aranda;0;0
Olores ofensivos;2014;La Candelaria;0;0
Olores ofensivos;2014;Rafael Uribe Uribe;5;3,8
Olores ofensivos;2014;Ciudad Bolívar;8;6,2
Olores ofensivos;2014;Distrito;130;100
Contaminación por ruido;2014;Usaquén;8;7,6
Contaminación por ruido;2014;Chapinero;22;21
Contaminación por ruido;2014;Santa Fe;4;3,8
Contaminación por ruido;2014;San Cristóbal;5;4,8
Contaminación por ruido;2014;Usme;0;0
Contaminación por ruido;2014;Tunjuelito;3;2,9
Contaminación por ruido;2014;Bosa;7;6,7
Contaminación por ruido;2014;Kennedy;14;13,3
Contaminación por ruido;2014;Fontibón;3;2,9
Contaminación por ruido;2014;Engativá;6;5,7
Contaminación por ruido;2014;Suba;2;1,9
Contaminación por ruido;2014;Barrios Unidos;9;8,6
Contaminación por ruido;2014;Teusaquillo;8;7,6
Contaminación por ruido;2014;Los Mártires;0;0
Contaminación por ruido;2014;Antonio Nariño;2;1,9
Contaminación por ruido;2014;Puente Aranda;6;5,7
Contaminación por ruido;2014;La Candelaria;2;1,9
Contaminación por ruido;2014;Rafael Uribe Uribe;3;2,9
Contaminación por ruido;2014;Ciudad Bolívar;1;1
Contaminación por ruido;2014;Distrito;105;100
Radiaciones electromagnéticas;2014;Usaquén;10;15,6
Radiaciones electromagnéticas;2014;Chapinero;3;4,7
Radiaciones electromagnéticas;2014;Santa Fe;2;3,1
Radiaciones electromagnéticas;2014;San Cristóbal;0;0
Radiaciones electromagnéticas;2014;Usme;0;0
Radiaciones electromagnéticas;2014;Tunjuelito;0;0
Radiaciones electromagnéticas;2014;Bosa;3;4,7
Radiaciones electromagnéticas;2014;Kennedy;2;3,1
Radiaciones electromagnéticas;2014;Fontibón;8;12,5
Radiaciones electromagnéticas;2014;Engativá;6;9,4
Radiaciones electromagnéticas;2014;Suba;17;26,6
Radiaciones electromagnéticas;2014;Barrios Unidos;3;4,7
Radiaciones electromagnéticas;2014;Teusaquillo;4;6,3
Radiaciones electromagnéticas;2014;Los Mártires;0;0
Radiaciones electromagnéticas;2014;Antonio Nariño;0;0
Radiaciones electromagnéticas;2014;Puente Aranda;1;1,6
Radiaciones electromagnéticas;2014;La Candelaria;1;1,6
Radiaciones electromagnéticas;2014;Rafael Uribe Uribe;3;4,7
Radiaciones electromagnéticas;2014;Ciudad Bolívar;1;1,6
Radiaciones electromagnéticas;2014;Distrito;64;100
Contaminación por aire;2015;Usaquén;3;3,3
Contaminación por aire;2015;Chapinero;9;9,9
Contaminación por aire;2015;Santa Fe;3;3,3
Contaminación por aire;2015;San Cristóbal;2;2,2
Contaminación por aire;2015;Usme;1;1,1
Contaminación por aire;2015;Tunjuelito;1;1,1
Contaminación por aire;2015;Bosa;20;22
Contaminación por aire;2015;Kennedy;9;9,9
Contaminación por aire;2015;Fontibón;2;2,2
Contaminación por aire;2015;Engativá;2;2,2
Contaminación por aire;2015;Suba;8;8,8
Contaminación por aire;2015;Barrios Unidos;4;4,4
Contaminación por aire;2015;Teusaquillo;7;7,7
Contaminación por aire;2015;Los Mártires;3;3,3
Contaminación por aire;2015;Antonio Nariño;1;1,1
Contaminación por aire;2015;Puente Aranda;10;11
Contaminación por aire;2015;La Candelaria;0;0
Contaminación por aire;2015;Rafael Uribe Uribe;2;2,2
Contaminación por aire;2015;Ciudad Bolívar;4;4,4
Contaminación por aire;2015;Distrito;91;100
Humo de tabaco;2015;Usaquén;5;13,5
Humo de tabaco;2015;Chapinero;2;5,4
Humo de tabaco;2015;Santa Fe;1;2,7
Humo de tabaco;2015;San Cristóbal;0;0
Humo de tabaco;2015;Usme;0;0
Humo de tabaco;2015;Tunjuelito;1;2,7
Humo de tabaco;2015;Bosa;2;5,4
Humo de tabaco;2015;Kennedy;0;0
Humo de tabaco;2015;Fontibón;2;5,4
Humo de tabaco;2015;Engativá;3;8,1
Humo de tabaco;2015;Suba;7;18,9
Humo de tabaco;2015;Barrios Unidos;4;10,8
Humo de tabaco;2015;Teusaquillo;5;13,5
Humo de tabaco;2015;Los Mártires;2;5,4
Humo de tabaco;2015;Antonio Nariño;0;0
Humo de tabaco;2015;Puente Aranda;2;5,4
Humo de tabaco;2015;La Candelaria;0;0
Humo de tabaco;2015;Rafael Uribe Uribe;1;2,7
Humo de tabaco;2015;Ciudad Bolívar;0;0
Humo de tabaco;2015;Distrito;37;100
Olores ofensivos;2015;Usaquén;4;2,7
Olores ofensivos;2015;Chapinero;20;13,3
Olores ofensivos;2015;Santa Fe;4;2,7
Olores ofensivos;2015;San Cristóbal;2;1,3
Olores ofensivos;2015;Usme;1;0,7
Olores ofensivos;2015;Tunjuelito;4;2,7
Olores ofensivos;2015;Bosa;59;39,3
Olores ofensivos;2015;Kennedy;2;1,3
Olores ofensivos;2015;Fontibón;7;4,7
Olores ofensivos;2015;Engativá;3;2
Olores ofensivos;2015;Suba;1;0,7
Olores ofensivos;2015;Barrios Unidos;10;6,7
Olores ofensivos;2015;Teusaquillo;16;10,7
Olores ofensivos;2015;Los Mártires;5;3,3
Olores ofensivos;2015;Antonio Nariño;5;3,3
Olores ofensivos;2015;Puente Aranda;1;0,7
Olores ofensivos;2015;La Candelaria;1;0,7
Olores ofensivos;2015;Rafael Uribe Uribe;4;2,7
Olores ofensivos;2015;Ciudad Bolívar;1;0,7
Olores ofensivos;2015;Distrito;150;100
Contaminación por ruido;2015;Usaquén;10;7,4
Contaminación por ruido;2015;Chapinero;28;20,6
Contaminación por ruido;2015;Santa Fe;4;2,9
Contaminación por ruido;2015;San Cristóbal;5;3,7
Contaminación por ruido;2015;Usme;3;2,2
Contaminación por ruido;2015;Tunjuelito;6;4,4
Contaminación por ruido;2015;Bosa;17;12,5
Contaminación por ruido;2015;Kennedy;9;6,6
Contaminación por ruido;2015;Fontibón;8;5,9
Contaminación por ruido;2015;Engativá;5;3,7
Contaminación por ruido;2015;Suba;2;1,5
Contaminación por ruido;2015;Barrios Unidos;6;4,4
Contaminación por ruido;2015;Teusaquillo;9;6,6
Contaminación por ruido;2015;Los Mártires;3;2,2
Contaminación por ruido;2015;Antonio Nariño;8;5,9
Contaminación por ruido;2015;Puente Aranda;4;2,9
Contaminación por ruido;2015;La Candelaria;0;0
Contaminación por ruido;2015;Rafael Uribe Uribe;5;3,7
Contaminación por ruido;2015;Ciudad Bolívar;4;2,9
Contaminación por ruido;2015;Distrito;136;100
Radiaciones electromagnéticas;2015;Usaquén;3;3,8
Radiaciones electromagnéticas;2015;Chapinero;4;5,1
Radiaciones electromagnéticas;2015;Santa Fe;0;0
Radiaciones electromagnéticas;2015;San Cristóbal;2;2,5
Radiaciones electromagnéticas;2015;Usme;3;3,8
Radiaciones electromagnéticas;2015;Tunjuelito;0;0
Radiaciones electromagnéticas;2015;Bosa;8;10,1
